코퍼스	개체	문서	앵커	걸린신호	심볼	종류	코드경로	조각머리	판정	근거
ditto	01M02QX61Z09G9FS89EFKXH59Q	src/cli/commands/deep-interview.ts	L1025	attached	premortemRefuteRecordCmd	variable	src/cli/commands/deep-interview.ts	// degrades to host_absent, never a false engaged stamp (ADR-0018).	참	`premortem-refute-record` 의 fail-closed 규칙 — 그 명령 정의다. ★ `const` 래퍼
ditto	01M02QX62XWP2PVN9WCQ4CH3V7	src/cli/commands/e2e.ts	L983	attached	e2eGenerate	variable	src/cli/commands/e2e.ts	/**	참	`ditto e2e generate` 가 USABLE/UNUSABLE 로 어떻게 갈리는지 — 그 명령 정의다. ★ `const` 래퍼
ditto	01M02QX648VJ46XSYKQW0AZX7Y	src/cli/commands/hook.ts	L61	attached	parseHookHost	function	src/cli/commands/hook.ts	/**	참	codex 호스트를 왜 크게 실패시키는지 — 그 함수의 결정이다
ditto	01M02QX64PYTBKQEYCC5QGA905	src/cli/commands/knowledge.ts	L170	attached	checkAdrConsistency	function	src/cli/commands/knowledge.ts	/**	참	ADR 디렉터리 일관성 검사 둘과 범위 가드 — 그 함수가 하는 일이다
ditto	01M02QX65CRM32AP74MY6JNYFB	src/cli/commands/prism.ts	L751	attached	prismOpponentCommand	variable	src/cli/commands/prism.ts	/**	참	`prism opponent` 가 실제로 무엇을 부르고 왜 맨 CLI 에서 degrade 하는지 — 그 명령 정의다. ★ `const` 래퍼
ditto	01M02QX65T3M6EFNGYHCDNCBK1	src/cli/commands/prism.ts	L938	attached	prismOpponentRecordCommand	variable	src/cli/commands/prism.ts	/**	참	`prism opponent-record` 가 호스트 판정을 어떻게 받고 한 번만 쓰는지 — 그 명령 정의다. ★ `const` 래퍼
ditto	01M02QX67ZBJ8MPKXTHX1ZD93W	src/cli/commands/work.ts	L521	attached	reflectManualTermination	function	src/cli/commands/work.ts	/**	참	수동 경로 GitHub 반영이 언제 켜지고 무엇을 건너뛰는지 — 그 함수의 계약이다
ditto	01M02QX68R6D4ECBA2EZM6BHGD	src/cli/commands/work.ts	L1383	attached	resolveProjectItemId	function	src/cli/commands/work.ts	/**	참	Projects v2 항목 id 해소가 왜 best-effort 인지 — 그 함수의 계약이다
ditto	01M02QX6AE2W4DYCFWRASSENW3	src/core/autopilot-complete.ts	L16	attached	OracleMap	type_alias	src/core/autopilot-complete.ts	/** Per-AC oracle lookup threaded into the closure decision (ADR-0024 §3 ③ JUDGE). */	참	`OracleMap` 이 무엇을 담는지 — 그 타입의 계약이다
ditto	01M02QX6AXKP4TXZX36PM8J8XJ	src/core/autopilot-complete.ts	L382	attached	barrierRanGreen	function	src/core/autopilot-complete.ts	/**	참	테스트 배리어의 완료 이음매와 「증명된 GREEN」의 정의 — 그 함수의 판정 규칙이다
ditto	01M02QX6B710P2MGXP7VRRVA2J	src/core/autopilot-complete.ts	L579	attached	loopStuckBlocked	function	src/core/autopilot-complete.ts	/**	거짓	★ 주제는 **`deriveNonPassStatus`**(L610 · non_pass_status 의 WRITER)다 — `loopStuckBlocked` 는 그 안에서 쓰이는 조건일 뿐이다. **빈 줄이 없어 처분 (나)가 못 잡는다**(등록이 예측한 그 형태)
ditto	01M02QX6C0258VG6ESD58Q76MN	src/core/autopilot-converge.ts	L139	attached	totalForwardRounds	function	src/core/autopilot-converge.ts	/**	참	그래프에서 유도한 전방 라운드 총수와 왜 저장 카운터를 안 믿는지 — 그 함수다
ditto	01M02QX6CHRXNWPX1QDA2ACFGE	src/core/autopilot-dispatch.ts	L31	attached	ResolvedAcceptance	interface	src/core/autopilot-dispatch.ts	/**	참	패킷에 실리는 해소된 수용 기준이 무엇을 담는지 — 그 인터페이스의 계약이다
ditto	01M02QX6DQPEXQKZP8P3SHTJAW	src/core/autopilot-loop.decision-conflict.test.ts	L111	attached	SUPERSEDED_ADR_0011_BODY	variable	src/core/autopilot-loop.decision-conflict.test.ts	/** Committed body whose status LINE marks ADR-0011 superseded by the claimed successor. *	참	이 픽스처 본문이 무엇을 나타내는지 — 그 상수다
ditto	01M02QX6F4322YXA2ZHZK138J8	src/core/autopilot-loop.ts	L757	attached	resolveBarrierCommand	function	src/core/autopilot-loop.ts	/**	참	배리어 명령을 어떻게 해소하고 없으면 어떻게 degrade 하는지 — 그 함수다
ditto	01M02QX6FMV6ZHK50YPZFN49C0	src/core/autopilot-loop.ts	L882	attached	executeTestBarrier	function	src/core/autopilot-loop.ts	/**	참	테스트 배리어 실행이 여러 저장소 결과를 worst-wins 로 어떻게 접는지 — 그 함수다
ditto	01M02QX6J05N85ZWGPTAEM4MJ9	src/core/autopilot-loop.ts	L2131	attached	surfaceLspDiagnostics	function	src/core/autopilot-loop.ts	/**	참	편집→진단 게이트가 무엇을 훑고 왜 완료를 안 막는지 — 그 함수의 계약이다
ditto	01M02QX6JMYTFWJZFG0X8MVE2R	src/core/autopilot-loop.ts	L2329	attached	applyDecisionConflictDeclaration	function	src/core/autopilot-loop.ts	/**	참	결정-충돌 선언의 세 갈래 적용 규칙 — 그 함수가 하는 일이다
ditto	01M02QX6JY5J5TPX114SQC0JR6	src/core/autopilot-loop.ts	L2520	attached	unmetOracles	function	src/core/autopilot-loop.ts	/**	참	루프 안 오라클 권위가 무엇을 미충족으로 세는지 — 그 함수의 반환이다
ditto	01M02QX6K751V4FVHGTY6FN1KA	src/core/autopilot-loop.ts	L2681	attached	CONVERGENCE_VERDICT_OF	variable	src/core/autopilot-loop.ts	// `capped` is deliberately NOT `pass` (ADR-0024: capped ≠ converged) so `converged`	참	전체 그래프 처분이 수렴 게이트로 어떻게 사상되고 `capped` 가 왜 pass 가 아닌지 — 그 상수다. ★ `const` 래퍼
ditto	01M02QX6KP3ZAMVTWAY1S5Q2C9	src/core/autopilot-loop.ts	L2862	attached	directPostDecisions	function	src/core/autopilot-loop.ts	/**	참	G8 직접 게시가 언제 돌고 왜 fail-open 인지 — 그 함수의 계약이다
ditto	01M02QX6QMCXR94B7AT6XN61V2	src/core/chain-drive.ts	L17	attached	BranchedStemError	class	src/core/chain-drive.ts	/** Thrown when the connected follows-component through <wi> branches (multi-child)	참	이 오류가 언제 던져지는지와 그 거부의 근거 — 그 클래스다
ditto	01M02QX6REGAG7RFW0A6YHK2C2	src/core/cite-gate.ts	L103	attached	CiteCrossCheck	interface	src/core/cite-gate.ts	/**	참	인용 신호를 재제안률과 교차검증하는 규칙 — 그 인터페이스가 담는 것이다
ditto	01M02QX6SWZ9N5X4BP26DRYRF9	src/core/completion-coverage-doctor.ts	L55	attached	countUnitOnlyClosures	function	src/core/completion-coverage-doctor.ts	/**	참	단위-only 종료 수를 집계한다 — 그 함수가 하는 일이다
ditto	01M02QX6V8BEC35ACTGVJS5FEP	src/core/coverage-manager.ts	L730	attached	oraclesEqual	function	src/core/coverage-manager.ts	/**	참	오라클 둘의 구조적 동등성 — 그 함수다
ditto	01M02QX6VQVPGEGFAVNWNNEMT3	src/core/coverage-oracle.ts	L46	attached	OracleExecOptions	interface	src/core/coverage-oracle.ts	/** Executor options — `gitBin` exists for the ADR-0018 tool-absent seam. */	참	`gitBin` 이 왜 있는지 — 그 인터페이스의 필드에 대한 결정이다
ditto	01M02QX6WZGFB373Z9HABKTT2A	src/core/doctor-fix.ts	L37	attached	classifyReversible	function	src/core/doctor-fix.ts	/**	참	수리 대상이 언제 되돌릴 수 있는지 — 그 함수가 재는 것이다
ditto	01M02QX6Y02CXK25JC4WRBAJQF	src/core/e2e/generator.ts	L139	attached	defaultReadPlaywrightVersion	function	src/core/e2e/generator.ts	/**	참	기본 playwright 버전 리더가 자동 설치를 안 하고 안 던진다 — 그 함수의 계약이다
ditto	01M02QX6ZEJNEVAF67TM0KQKGN	src/core/fs.ts	L26	attached	isAtOrAboveHome	function	src/core/fs.ts	/**	거짓	★ **`findRepoRoot`(L52)의 doc 이다** — 그 아래 `isAtOrAboveHome` 자신의 doc(L39-47)이 따로 있는데 **그 위에 빈 줄 없이 얹혀** 있어서 걸렸다. **새 형태이고 처분 둘 다 안 겨냥한다**
ditto	01M02QX6ZX1D4QYAE6HKGKMNXQ	src/core/gates.ts	L338	attached	passCloseResidualBlockers	function	src/core/gates.ts	/**	참	종료-완전성 게이트가 무엇을 막고 무엇을 안 막는지 — 그 함수의 판정 규칙이다
ditto	01M02QX70696T68EXSM76TN8YF	src/core/gates.ts	L492	attached	discoveredDefectCloseBlockers	function	src/core/gates.ts	/**	참	발견된 결함의 종료 게이트가 언제 막고 언제 놓는지 — 그 함수다
ditto	01M02QX70MNS41CF1QRV779JJS	src/core/gates.ts	L604	attached	assertFrozenTestsIntact	function	src/core/gates.ts	/**	참	동결 테스트 무결성 검사가 무엇을 거부하는지 — 그 함수의 계약이다
ditto	01M02QX713TG95TRPFDWR5755X	src/core/gates.ts	L924	attached	DecisionConflict	interface	src/core/gates.ts	/**	참	감지된 결정 충돌 하나가 무엇을 담고 판정은 누가 하는지 — 그 인터페이스다
ditto	01M02QX71NVBRV5DMNXWB79RHY	src/core/gates.ts	L1041	attached	AdrStatusAtHead	type_alias	src/core/gates.ts	/**	참	주입된 ADR 리더가 무엇을 돌려줘야 하는지와 fail-open 금지 — 그 타입의 계약이다
ditto	01M02QX72AFX8NVC5T82DXMX6K	src/core/gh-client.ts	L123	attached	parseAssigneeLogins	function	src/core/gh-client.ts	/** Extract assignee `login`s from an `issue view --json …,assignees` payload.	참	gh 페이로드에서 assignee login 을 어떻게 좁혀 뽑는지 — 그 함수다
ditto	01M02QX74N0KH3PTQ8XWMVA1VG	src/core/interview-dissent.ts	L70	attached	engageIntentDissent	function	src/core/interview-dissent.ts	/**	참	의도층 상대를 한 차원에 대해 어떻게 몰고 네 갈래로 어떻게 갈리는지 — 그 함수다
ditto	01M02QX75FJCVYPMFMMYDA72M1	src/core/interview-driver.ts	L876	attached	RecordIntentDissentResult	type_alias	src/core/interview-driver.ts	/**	참	의도-반론 판정을 상태에 적는 원시연산의 규칙 — 그 타입이 이름 붙인 결과다
ditto	01M02QX761P7F8HJSJHE3SYT3V	src/core/interview-driver.ts	L1355	attached	RecordIntentSemanticResult	type_alias	src/core/interview-driver.ts	/**	참	A1 의미 비평 판정을 별도 필드에 적는 규칙 — 그 타입이 이름 붙인 결과다
ditto	01M02QX76RDMFZEZZEJT1T39KS	src/core/journey-authoring/session-state.ts	L20	attached	AcgJourneyStep	type_alias	src/core/journey-authoring/session-state.ts	/** Journey step shape, derived from the canonical schema (ADR-0002). */	참	이 타입이 정본 스키마에서 유도된다는 것 — 그 타입이다
ditto	01M02QX77BRQDV487K0QXSCFET	src/core/knowledge-bridge.ts	L110	attached	readAdrStatusAtHead	function	src/core/knowledge-bridge.ts	/**	참	HEAD 커밋에서 ADR 상태를 읽는 규칙과 모든 throw 를 'absent' 로 담는 이유 — 그 함수다
